Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Barkha Bahar,(1973),135,['Romance'],5.9,8.0,Amar Kumar,Navin Nischol,Rekha,Radhakrishan
Barkhaa,(2015),127,"['Drama', ' Romance']",5.1,315.0,Shadaab Mirza,Sara Loren,Priyanshu Chatterjee,Muntazir Ahmad
Barood,(1976),140,"['Action', ' Crime', ' Drama']",6.0,84.0,Pramod Chakravorty,Rishi Kapoor,Shoma Anand,Reena Roy
Barood,(1998),159,"['Action', ' Crime', ' Drama']",4.7,626.0,Pramod Chakravorty,Rakhee Gulzar,Akshay Kumar,Raveena Tandon
Barsaat,(1949),171,"['Drama', ' Romance', ' Musical']",7.7,596.0,Raj Kapoor,Nargis,Raj Kapoor,Prem Nath
Barsaat Ki Ek Raat,(1981),142,"['Romance', ' Thriller']",6.3,312.0,Shakti Samanta,Amitabh Bachchan,Rakhee Gulzar,Amjad Khan
Barsaat Ki Raat,(1960),142,"['Drama', ' Musical', ' Romance']",6.9,117.0,P.L. Santoshi,Madhubala,Bharat Bhushan,Shyama
Barsaat Ki Raat,(1998),151,['Musical'],3.7,12.0,Bharat Kapoor,Dharmendra,Dinesh Hingoo,Shafi Inamdar
Bas Ek Pal,(2006),150,"['Drama', ' Romance', ' Thriller']",5.9,503.0,Onir,Juhi Chawla,Urmila Matondkar,Jimmy Sheirgill
Bas Itna Sa Khwaab Hai...,(2001),169,"['Drama', ' Romance', ' Thriller']",3.7,586.0,Goldie Behl,Rani Mukerji,Abhishek Bachchan,Sushmita Sen
Bas Yaari Rakho,(2000),135,"['Comedy', ' Drama', ' Family']",6.5,21.0,Gopi Desai,Om Puri,Pooja Batra,Rushabh Patni
Bas Yun Hi,(2003),135,"['Comedy', ' Musical', ' Romance']",5.6,54.0,Raja Menon,Purab Kohli,Nandita Das,Rajiv Gopalakrishnan
Basant,(1942),146,"['Drama', ' Musical']",6.8,21.0,Amiya Chakrabarty,Mumtaz Shanti,Ulhas,Mumtaz Ali
Basant,(1960),165,"['Comedy', ' Drama', ' Romance']",6.5,33.0,Bibhuti Mitra,Nutan,Shammi Kapoor,Minoo Mumtaz
Basant Bahar,(1956),150,"['Drama', ' Musical', ' Romance']",7.1,32.0,Raja Nawathe,Bharat Bhushan,Nimmi,Kumkum
Basanti Tangewali,(1992),135,"['Action', ' Thriller']",4.3,9.0,Kanti Shah,Ishrat Ali,Sadashiv Amrapurkar,Avtar Gill
Baseraa,(1981),139,"['Drama', ' Family']",6.8,133.0,Ramesh Talwar,Shashi Kapoor,Rakhee Gulzar,Rekha
Basti,(2003),135,"['Action', ' Crime', ' Drama']",7.0,27.0,Sadashiv Amrapurkar,Liyaqat Bari,Brij Gopal,Rajendra Gupta
Battalion 609,(2019),131,['War'],2.8,101.0,Brijesh Batuknath Tripathi,Vicky Ahuja,Kumar Gautam,Karim Hajee
Batwara,(1989),201,"['Action', ' Drama']",6.3,206.0,J.P. Dutta,Dharmendra,Vinod Khanna,Dimple Kapadia
Batwara,(1961),135,"['Drama', ' Family']",6.2,12.0,Karunesh Thakur,Pradeep Kumar,Nirupa Roy,Rehman
Bawandar,(2000),125,['Drama'],7.0,288.0,Jag Mundhra,Nandita Das,Raghuvir Yadav,Deepti Naval
Bawre Nain,(1950),138,"['Drama', ' Romance']",6.9,36.0,Kidar Nath Sharma,Raj Kapoor,Geeta Bali,Vijayalaxmi
Bawri Chhori,(2021),135,['Drama'],5.2,79.0,Akhilesh Jaiswal,Sagar Arya,Amerjit Deu,Apurva Gondalia
Bayen Hath Ka Khel,(1985),135,"['Adventure', ' Comedy', ' Musical']",7.0,11.0,Vijay Kaul,Rajesh Khanna,Tina Ambani,Pran
Bazaar,(1949),148,"['Drama', ' Family']",6.8,6.0,K. Amarnath,Nigar Sultana,Shyam,Gope
Bazaar,(1982),120,"['Drama', ' Family']",7.3,481.0,Sagar Sarhadi,Farooq Shaikh,Smita Patil,Naseeruddin Shah
Bazaar E Husn,(2014),125,['Drama'],4.8,15.0,Ajay Mehra,Ahmed Faisal Inam,Om Puri,Jeet Goswami
"Bazaar: Market of Love, Lust and Desire",(2004),135,['Drama'],5.9,15.0,Rajesh Bhatt,Amit Hingorani,Vrajesh Hirjee,Shakti Kapoor
Be Aabroo,(1983),135,['Action'],4.9,7.0,Shiv Kumar,Bandini Mishra,Raj Shekhar,Apeksha
Bebus,(1979),135,['Drama'],6.6,7.0,Narendra Bedi,Rajesh Khanna,Zaheera,Asha Sachdev
Be-Careful,(2011),93,"['Comedy', ' Crime', ' Drama']",3.1,88.0,Chandrakant Singh,Asrani,Ali Khan,Bobby Khan
Bechain,(1993),135,"['Action', ' Drama', ' Romance']",4.8,8.0,Kawal Sharma,Sidhant Salaria,Malvika Tiwari,Raza Murad
Bedaag,(1965),135,"['Drama', ' Family']",5.4,16.0,R. Bhattacharya,Nanda,Manoj Kumar,Shashikala
Bedard Zamana Kya Jane,(1959),135,"['Crime', ' Drama', ' Family']",6.1,7.0,Babubhai Mistry,Ashok Kumar,Nirupa Roy,Pran
Bedardi,(1993),146,"['Action', ' Crime']",3.9,148.0,Krishnakant Pandya,Ajay Devgn,Urmila Matondkar,Reena Roy
Bedhab,(2019),135,['Mystery'],5.8,37.0,Akash Goila,Sanjay Kapoor,Karishma Kotak,Aashish Sachdeva
Beehad - The Ravine,(2013),125,['Drama'],5.6,10.0,Krishna Mishra,Pawan Rajput,Satyajeet Rajput,Vikas Shrivastav
Bees Saal Baad,(1962),158,"['Thriller', ' Musical', ' Mystery']",7.1,341.0,Biren Nag,Biswajit Chatterjee,Waheeda Rehman,Manmohan Krishna
Bees Saal Baad,(1989),141,"['Horror', ' Mystery']",5.1,156.0,Rajkumar Kohli,Mithun Chakraborty,Dimple Kapadia,Meenakshi Sheshadri
Bees Saal Pehle,(1972),135,['Horror'],5.3,10.0,Probir Roy,Jayanta Mukherjee,Anupama,Farida Jalal
Begaana,(1963),135,"['Drama', ' Family']",6.4,24.0,Sadashiv J. Row Kavi,Dharmendra,Supriya Choudhury,Sailesh Kumar
Begunaah,(1991),135,"['Action', ' Crime', ' Drama']",5.4,17.0,Anil Suri,Rajesh Khanna,Ashok Kumar,Farha Naaz
Behind the Mirror,(2005),88,['Drama'],5.9,14.0,Rajkumar Bhan,Sulabha Deshpande,Omkar Lele,Nandu Madhav
Behroopia,(1971),135,['Fantasy'],4.0,5.0,Rajesh Nanda,Dheeraj Kumar,Snehlata,Mehmood Jr.
Beiimaan Love,(2016),120,"['Drama', ' Romance', ' Thriller']",2.8,439.0,Rajeev Chaudhari,Sunny Leone,Rajniesh Duggall,Daniel Weber
Be-Imaan,(1972),133,"['Drama', ' Family']",6.9,75.0,Sohanlal Kanwar,Manoj Kumar,Rakhee Gulzar,Nazima
Bekaraar,(1983),121,"['Drama', ' Romance']",3.7,27.0,Rajendra Prasad V.B.,Sanjay Dutt,Padmini Kolhapure,Ashok Kumar
Bekhudi,(1992),140,"['Action', ' Crime', ' Drama']",4.6,192.0,Rahul Rawail,Kamal Sadanah,Kajol,Ajay Mankotia
Be-Lagaam,(2002),135,"['Crime', ' Thriller']",2.9,16.0,Ram Lakhan,Pramod Moutho,Tanveer Zaidi,Rajeev Verma
Bemisal,(1982),142,"['Drama', ' Family']",7.0,386.0,Hrishikesh Mukherjee,Amitabh Bachchan,Rakhee Gulzar,Vinod Mehra
Benaam,(1974),117,"['Drama', ' Mystery', ' Thriller']",6.8,251.0,Narendra Bedi,Amitabh Bachchan,Moushumi Chatterjee,Satyendra Kapoor
Benaam,(1999),126,"['Drama', ' Action', ' Horror']",4.4,32.0,T.L.V. Prasad,Mithun Chakraborty,Aditya Pancholi,Payal Malhotra
Benaam Badsha,(1991),135,"['Action', ' Crime', ' Drama']",5.0,252.0,K. Ravi Shankar,Rakesh Bedi,Juhi Chawla,Seema Deo
Benazir,(1964),158,"['Drama', ' Romance']",7.3,39.0,S. Khalil,Meena Kumari,Ashok Kumar,Shashi Kapoor
Bengal Tiger,(2001),121,"['Action', ' Crime']",5.3,29.0,Adarsh Jain,Sandeep Bedi,Mithun Chakraborty,Roshini Jaffery
Bengaloored,(2010),135,"['Drama', ' Romance']",7.7,30.0,Swaroop Kanchi,Harish Raj,Meghana Mudiyam,Srinivasa Prabhu
Benny and Babloo,(2010),123,"['Comedy', ' Drama']",6.1,349.0,Yunus Sajawal,Kay Kay Menon,Rajpal Yadav,Aasif Sheikh
Bepanaah,(1985),156,"['Drama', ' Family']",6.2,42.0,Jagdish Sidana,Shashi Kapoor,Mithun Chakraborty,Poonam Dhillon
Beqabu,(1996),135,"['Action', ' Drama', ' Family']",4.1,59.0,N. Chandra,Sanjay Kapoor,Mamta Kulkarni,Amrish Puri
Beqasoor,(1950),135,['Drama'],6.7,17.0,K. Amarnath,Madhubala,Ajit,Pramila
Beqasoor,(1980),135,"['Action', ' Crime', ' Drama']",4.6,11.0,B.P. Harisinghaney,Vikas Anand,Vijay Arora,Master Bhagwan
Be-Reham,(1980),147,"['Action', ' Crime', ' Thriller']",6.8,32.0,Raghunath Jhalani,Sanjeev Kumar,Mala Sinha,Shatrughan Sinha
Be-Shaque,(1981),121,"['Adventure', ' Crime', ' Drama']",6.3,30.0,Kashinath,Mithun Chakraborty,Amrish Puri,Sonia Sahni
Besharam,(1978),139,"['Action', ' Drama']",5.4,114.0,Deven Verma,Sharmila Tagore,Amitabh Bachchan,Bindu
Beta Ho To Aisa,(1994),135,['Drama'],3.8,45.0,C.P. Dixit,Ravi Anand,Vikas Anand,Anuradha
Betaab,(1983),162,"['Family', ' Romance']",6.6,532.0,Rahul Rawail,Shammi Kapoor,Nirupa Roy,Prem Chopra
Betaabi,(1997),188,"['Drama', ' Romance']",4.4,104.0,Rajesh Ram Singh,Chandrachur Singh,Arshad Warsi,Anjala Zaveri
Betaaj Badshah,(1994),166,"['Action', ' Drama']",4.8,44.0,Iqbal Durrani,Raaj Kumar,Shatrughan Sinha,Jay Mehta
Beti,(1969),135,['Drama'],5.8,10.0,Harmesh Malhotra,Nanda,Sanjay Khan,Kishore Sahu
Beti Bete,(1964),145,"['Comedy', ' Drama', ' Family']",6.8,31.0,L.V. Prasad,Sunil Dutt,Saroja Devi B.,Jamuna
Beti No. 1,(2000),135,"['Comedy', ' Drama', ' Family']",3.7,241.0,Rama Rao Tatineni,Rakesh Bedi,Laxmikant Berde,Birbal
Bewafa,(1952),112,"['Drama', ' Romance']",7.6,80.0,M.L. Anand,Nargis,Ashok Kumar,Raj Kapoor
Bewafa Sanam,(1995),144,"['Drama', ' Romance']",5.1,104.0,Gulshan Kumar,Krishan Kumar,Shilpa Shirodkar,Sagar
Bewafai,(1985),145,"['Drama', ' Romance']",5.6,58.0,R. Thyagaraajan,Rajesh Khanna,Rajinikanth,Padmini Kolhapure
Bewaffa Se Waffa,(1992),172,['Romance'],4.9,75.0,Saawan Kumar Tak,Vivek Mushran,Juhi Chawla,Nagma
Bewajah,(2017),127,['Thriller'],6.3,30.0,Jagat Joon,Anshu,Vishvendra Singh,Dhirendra Gupta
Bewaqoof,(1960),160,['Musical'],5.2,35.0,I.S. Johar,Kishore Kumar,Mala Sinha,I.S. Johar
Beyond Blue: An Unnerving Tale of a Demented Mind,(2015),99,"['Crime', ' Fantasy', ' Mystery']",6.7,7.0,Zanane Rajsingh,Tushar Pandey,Isheta Sarckar,Dipti Joshi
Beyond Bollywood,(2013),64,"['Documentary', ' Biography', ' Drama']",6.1,58.0,Adam Dow,Ruchika Muchhala,Pooja Kasekar,Harry Key
Bezubaan,(1982),137,"['Drama', ' Romance']",7.3,70.0,Bapu,Shubham Kumar Singh,Shashi Kapoor,Reena Roy
Bezubaan Ishq,(2015),128,"['Musical', ' Romance']",4.0,68.0,Jaswant Gangani,Mugdha Godse,Sneha Ullal,Nishant Malkani
Bhaag Johnny,(2015),118,"['Action', ' Fantasy', ' Thriller']",5.2,963.0,Shivam Nair,Kunal Khemu,Zoa Morani,Mandana Karimi
Bhaagte Raho,(2018),115,['Comedy'],3.6,18.0,Praful D.S. Tiwari,Riya Deepsi,Mukesh Fotwani,Dinesh Hingoo
Bhaangarh,(2014),135,['Horror'],6.7,32.0,Dilip Sood,Adeel Chaudhry,Suzzana Mukherjee,Debonita Sur
Bhabhi,(1991),145,"['Comedy', ' Drama', ' Family']",4.1,131.0,Kishore Vyas,Bhanupriya,Govinda,Juhi Chawla
Bhabhi,(1957),165,['Drama'],6.7,47.0,R. Krishnan,S. Panju,Balraj Sahni,Pandharibai
Bhabhi Ki Chudiyan,(1961),168,"['Drama', ' Family']",5.4,30.0,Sadashiv J. Row Kavi,Balraj Sahni,Meena Kumari,Sailesh Kumar
Bhabhipedia,(2018),107,"['Comedy', ' Romance']",8.3,84.0,Saumyy Shivhare,Jay Solanki,Hrishitaa Bhatt,Rajkumar Kanojia
Bhabi,(1938),135,"['Drama', ' Family']",6.3,9.0,Franz Osten,Renuka Devi,Paidi Jairaj,Meera
Bhadaas,(2013),89,['Thriller'],2.5,26.0,Ajay Yadav,Meera,Aryeman Ramsay,Ashutosh Kaushik
Bhagam Bhag,(1956),101,"['Action', ' Comedy', ' Crime']",6.0,21.0,Master Bhagwan,Kishore Kumar,Shashikala,Smriti Biswas
Bhagat Gora Kumbhar,(1978),135,"['Drama', ' History']",6.8,8.0,Dinesh Rawal,Rajni Bala,Ramesh Mehta,Shrikant Soni
Bhagat Singh,(2002),135,['Drama'],3.2,6.0,Anand Sagar,Deepak Dutta,Kumar Hegde,Mukul Nag
Bhagawat Ek Jung,(2001),113,['Action'],4.6,18.0,Deepak Pawar,Mithun Chakraborty,Manvi Goswami,Mohan Joshi
Bhageeratha,(2005),158,"['Action', ' Drama']",5.6,227.0,Rasool Ellore,Ravi Teja,Shriya Saran,Brahmanandam
Bhagmati,(2005),160,"['Animation', ' Drama', ' History']",6.1,57.0,Ashok Kaul,Tabu,Milind Soman,J.V. Somayajulu
Bhago Bhoot Aayaa,(1985),135,"['Comedy', ' Horror', ' Thriller']",5.9,43.0,Krishna Naidu,Ashok Kumar,Deven Verma,Kaajal Kiran
Bhagwaan Dada,(1986),147,"['Drama', ' Thriller']",4.3,169.0,J. Om Prakash,Rajinikanth,Rakesh Roshan,Sridevi
Bhagwan Parshuram,(1970),136,['Drama'],8.7,10.0,Babubhai Mistry,Niranjan Sharma,Shalini,Trilok Kapoor
Bhagwan Shri Krishna,(1985),138,"['Action', ' Adventure', ' Fantasy']",6.0,10.0,Ramkumar Bohra,Ajit Bhalla,Kumud Bole,Manher Desai
Bhagyawan,(1994),136,['Drama'],4.4,68.0,S.K. Subash,Govinda,Juhi Chawla,Pran
Bhai,(1997),147,"['Action', ' Drama']",5.1,353.0,Deepak S. Shivdasani,Sunil Shetty,Pooja Batra,Sonali Bendre
Bhai Bahen,(1969),151,"['Drama', ' Family']",4.9,24.0,A. Bhimsingh,Ashok Kumar,Sunil Dutt,Nutan
Bhai Bhai,(1970),135,"['Action', ' Drama', ' Family']",5.7,18.0,Raja Nawathe,Sunil Dutt,Asha Parekh,Mumtaz
Bhai Bhai,(1997),172,['Action'],3.8,24.0,Sikander Bharti,Manek Bedi,Samrat Mukherjee,Megha
Bhai Ho To Aisa,(1972),131,"['Action', ' Comedy', ' Drama']",5.7,37.0,Manmohan Desai,Jeetendra,Hema Malini,Shatrughan Sinha
Bhai Thakur,(2000),118,"['Action', ' Drama']",3.2,9.0,William Hunt,Raja,Willy,Dharmendra
Bhai-Bahen,(1959),136,"['Drama', ' Family']",6.0,5.0,G.P. Sippy,Daisy Irani,Rajan Kapoor,Kathana
Bhai-Bhai,(1956),164,['Drama'],5.8,15.0,M.V. Raman,Ashok Kumar,Kishore Kumar,Nimmi
Bhairav,(2001),133,['Action'],4.6,29.0,T.L.V. Prasad,Hemant Birje,Mithun Chakraborty,Jack Gaud
Bhairava Dweepam,(1994),162,"['Action', ' Adventure', ' Comedy']",7.8,533.0,Singeetam Srinivasa Rao,Nandamuri Balakrishna,Roja,Satyanarayana Kaikala
Bhairavi,(1996),145,"['Drama', ' Musical', ' Romance']",5.3,35.0,Aruna Raje,Ashwini Bhave,Sridhar,Manohar Singh
Bhaiyya,(1961),135,"['Drama', ' Family']",7.4,7.0,Phani Majumdar,Tarun Bose,Vijaya Choudhury,Gopal
Bhakta Dhruva,(1947),135,"['Adventure', ' Drama', ' Fantasy']",5.3,7.0,Shanti Kumar,Jeevan,Sashi Kapoor,Leela Mishra
Bhakta Prahlad,(1932),135,['Drama'],5.5,6.0,Kanjibhai Rathod,Neelam,Hydershah,Kumar Mukund
Bhakta Siriyala,(1980),154,"['Biography', ' Drama', ' Musical']",7.1,19.0,Hunsur Krishnamurthy,Arathi,K.S. Ashwath,Sharapanjara Iyengar
Bhakti Mein Shakti,(1979),140,"['Adventure', ' Drama', ' History']",7.5,13.0,Dara Singh,Dara Singh,Satish Kaul,Bharat Bhushan
Bhala Manus,(1976),138,"['Drama', ' Romance']",4.6,11.0,Vishwamitra,Randhir Kapoor,Neetu Singh,Aruna Irani
Bhale Donga,(1989),135,"['Action', ' Comedy', ' Drama']",3.3,108.0,Kodanda Rami Reddy A.,Nandamuri Balakrishna,Mohan Babu,Brahmanandam
Bhalevadivi Basu,(2001),156,"['Family', ' Comedy']",4.6,35.0,P.A. Arun Prasad,Nandamuri Balakrishna,Anjala Zaveri,Shilpa Shetty Kundra
Bhamashah,(2017),83,['Drama'],6.2,11.0,Vikram Nath Gupta,Dharmendra Gohil,Daya Shankar Pandey,Manoj Shah
Bhangarh: The Last Episode,(2017),84,['Horror'],5.5,15.0,Anil Bajpai,Prashant Barot,Deepanshu Malik,Rumana Molla
Bhangover,(2017),115,['Comedy'],5.1,34.0,Mahender Singh,Prerika Arora,Aradhya Taing,Anmol Khatri
Bhangra Paa Le,(2020),131,"['Comedy', ' Drama', ' Music']",6.0,287.0,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar
Bhanwar,(1976),135,"['Drama', ' Romance']",6.2,24.0,Bhappi Sonie,Ashok Kumar,Randhir Kapoor,Parveen Babi
Bhanwarey,(2017),120,['Comedy'],6.8,58.0,Shaurya Singh,Shaurya Singh,Karhan Dev,Jashan Singh Kohli
Bharat Bhagya Vidhata,(2002),160,"['Action', ' Adventure', ' Thriller']",5.7,13.0,Ashok Tyagi,Chandrachur Singh,Flora Saini,Shatrughan Sinha
Bharat Milap,(1942),170,"['Adventure', ' Drama', ' History']",6.6,9.0,Vijay Bhatt,Prem Adib,K.B. Athavale,Umakant Desai
Bharosa,(1963),135,"['Comedy', ' Drama', ' Romance']",6.1,24.0,K. Shankar,Guru Dutt,Asha Parekh,Mehmood
Bharosa,(1981),135,"['Adventure', ' Mystery']",6.0,5.0,Meraj,Rajesh Khanna,Zaheera,Sujit Kumar
Bhasmasur,(2017),74,['Drama'],6.8,132.0,Nishil Sheth,Imran Rasheed,Mittal Chouhan,Trimala Adhikari
Bhavani Junction,(1985),128,"['Action', ' Crime', ' Thriller']",5.8,48.0,H. Dinesh,Shashi Kapoor,Shatrughan Sinha,Zeenat Aman
Bhavna,(1984),135,['Drama'],6.9,35.0,Pravin Bhatt,Shabana Azmi,Marc Zuber,Saeed Jaffrey
Bhavnao Ko Samjho,(2010),114,"['Action', ' Comedy', ' Drama']",4.3,76.0,Sunil Pal,Madhu Acharya,Nitin Anand,Dinesh Bawara
Bhavni Bhavai,(1981),135,"['Comedy', ' Drama']",6.6,114.0,Ketan Mehta,Smita Patil,Naseeruddin Shah,Mohan Gokhale
Bhawani Mandi Tesan,(2018),135,['Comedy'],6.4,5.0,Sayed Faizan Hussain,Luv Sinha,Prashant Narayanan,Jaideep Ahlawat
Bhayaanak,(1998),105,['Horror'],4.3,6.0,R. Mittal,Anil Dhawan,Tina Ghai,Bharat Kapoor
Bhayaanak Mahal,(1988),113,['Horror'],3.4,8.0,Baby,Babu Antony,Ravi,Jaya Rekha
Bhayaanak Panjaa,(2003),95,['Horror'],4.9,24.0,R. Mittal,Birbal,Shail Chaturvedi,Anil Dhawan
Bhayanak Maut,(2000),135,['Horror'],6.5,8.0,Bhooshan,Sapna Sappu,Jai Thakur,Amit Pachori
Bheegi Palkein,(1982),142,['Romance'],6.4,18.0,Sisir Misra,Raj Babbar,Smita Patil,Dina Pathak
Bheegi Raat,(1965),157,"['Comedy', ' Drama', ' Romance']",6.2,40.0,Kalidas,Ashok Kumar,Meena Kumari,Pradeep Kumar
Bheema Mera Haathi,(1973),135,['Drama'],4.4,8.0,Gemini Ganesan,Cho Ramaswamy,Sridevi,Vijayalalitha
Bhikharan,(1935),143,['Drama'],6.2,9.0,Premankur Atorthy,Rattan Bai,Master Vinayak,I.A. Hafizji
Bhindi Baazaar,(2011),157,"['Crime', ' Drama', ' Thriller']",6.1,673.0,Ankush Bhatt,Kay Kay Menon,Prashant Narayanan,Pawan Malhotra
Bhishma,(1996),135,"['Action', ' Thriller']",4.2,32.0,Jagdish A. Sharma,Mithun Chakraborty,Harish,Anjali Jathar
BHK Bhalla@Halla.Kom,(2016),122,['Comedy'],5.9,74.0,Rakesh Chaturvedi Om,Ujjwal Rana,Inshika Bedi,Manoj Pahwa
Bhobhar - The Live Ash,(2012),100,"['Drama', ' Family', ' Romance']",4.9,9.0,Gajendra Shanker Shrotriya,Vinod Acharya,Vasudev Bhatt,Vishal Bhatt
Bhola Bhala,(1978),135,"['Action', ' Crime', ' Drama']",6.3,28.0,Satpal,Rajesh Khanna,Rekha,Moushumi Chatterjee
Bhola in Bollywood,(2004),135,['Comedy'],6.3,19.0,Sumbul Gazi,Ali Asgar,Raj Babbar,Suresh Chatwal
Bhooka Sher,(1984),165,['Action'],4.8,12.0,I.V. Sasi,Aachi Manorama,Rajinikanth,Seema
Bhooka Sher,(2001),109,['Action'],5.0,23.0,Hemant Birje,Dharmendra,Shakti Kapoor,Sikander Khan
Bhookailas,(1958),174,"['Drama', ' Musical']",7.1,143.0,K. Shankar,N.T. Rama Rao,Akkineni Nageshwara Rao,Jamuna
Bhookamp,(1993),135,"['Action', ' Drama', ' Thriller']",5.0,23.0,Gautam Adhikari,Firoz Ali,Harbans Darshan M. Arora,Deven Bhojani
Bhookh,(1978),135,"['Action', ' Crime', ' Drama']",6.6,5.0,H. Dinesh,Ramesh Puri,Shatrughan Sinha,Reena Roy
Bhool,(1984),135,['Drama'],6.2,5.0,Tej Saran,Amrish Puri,Tamanna,Tariq
Bhool Bhulaiyan,(1933),135,['Comedy'],6.0,6.0,Jayant Desai,Ghori,Dixit,Kamlabai Gokhale
Bhoot and Friends,(2010),133,"['Animation', ' Action', ' Adventure']",5.8,96.0,Karanjeet Saluja,Nishikant Dixit,Ashish Kattar,Faiz Khan
Bhoot Bhungla,(1997),135,['Comedy'],3.8,13.0,Aziz Sejawal,Govinda,Shakti Kapoor,Kader Khan
Bhoot Bungla,(1965),145,"['Comedy', ' Horror', ' Mystery']",6.5,106.0,Mehmood,Mehmood,Tanuja,Nasir Hussain
Bhoot Ka Darr,(1999),85,['Horror'],4.0,9.0,S. Gawli,Sapna Sappu,Junior Amitabh Bachchan,Jyoti Rana
Bhoot Ke Peeche Bhoot,(2003),135,['Horror'],3.4,8.0,Kishan Shah,Hemant Birje,Pinky Chinoy,Mohan Joshi
Bhoot Raaj,(2000),135,['Horror'],3.2,8.0,Poonam Dasgupta,Prithvi,Satnam Kaur,Shakti Kapoor
Bhoot Returns,(2012),85,"['Horror', ' Mystery', ' Thriller']",2.5,513.0,Ram Gopal Varma,J.D. Chakravarthi,Madhu Shalini,Alayana Sharma
Bhootnath,(1963),129,['Adventure'],6.5,60.0,Nanabhai Bhatt,Mohan Choti,Vijaya Choudhury,Rajan Haksar
Bhootni,(2000),135,['Horror'],2.4,5.0,Israr Ahmed,Kiran Kumar,Johnny Lever,Raza Murad
Bhopal Express,(1999),100,['Drama'],7.1,367.0,Mahesh Mathai,Kay Kay Menon,Nethra Raghuraman,Zeenat Aman
Bhopali,(2011),89,"['Documentary', ' History', ' News']",8.0,58.0,Van Maximilian Carlson,Saiba Babu,Salam Babu,Rashida Bee
Bhor: Dawn,(2018),93,['Drama'],7.8,147.0,Kamakhya Narayan Singh,Devesh Ranjan,Saveree Gaur,Nalneesh Neel
Bhouri,(2016),140,['Drama'],6.7,403.0,Jasbir Bijender Bhati,Raghuvir Yadav,Masha Pour,Kunickaa Sadanand
Bhram: An Illusion,(2008),135,"['Drama', ' Mystery', ' Romance']",4.0,113.0,Pavan Kaul,Dino Morea,Milind Soman,Sheetal Menon
Bhrashtachar,(1989),153,"['Action', ' Crime', ' Drama']",4.6,119.0,Ramesh Sippy,Rekha,Mithun Chakraborty,Anupam Kher
Bhumika,(1977),142,['Drama'],7.4,585.0,Shyam Benegal,Smita Patil,Anant Nag,Naseeruddin Shah
Bhuvan Shome,(1969),96,"['Comedy', ' Drama']",7.5,400.0,Mrinal Sen,Utpal Dutt,Suhasini Mulay,Shekhar Chatterjee
Bidaai,(1974),144,"['Drama', ' Musical', ' Romance']",6.5,54.0,L.V. Prasad,Jeetendra,Leena Chandavarkar,Durga Khote
Bidyapati,(1937),141,['Drama'],7.0,23.0,Debaki Bose,Pahadi Sanyal,Durgadas Bannerjee,Chhayadevi
Big Brother,(2007),128,"['Action', ' Crime', ' Drama']",3.8,781.0,Guddu Dhanoa,Sunny Deol,Priyanka Chopra Jonas,Vikas Anand
Bihari Gunda,(1987),135,['Action'],5.0,6.0,S.P. Muthuraman,Raghuvaran,Rajinikanth,Roobini
Bijuka,(2012),74,['Drama'],6.4,22.0,Ashtar Sayed,Arti Rautela,Amit Purohit,Janardhan Mishra
Bikhare Moti,(1971),135,"['Action', ' Drama', ' Romance']",3.6,13.0,Tapi Chanakya,Jeetendra,Babita Kapoor,Sujit Kumar
Billa,(1989),135,"['Action', ' Comedy', ' Crime']",6.6,19.0,Raja,Jai Ganesh,Goundamani,Jaishankar
Billa No. 786,(2000),140,['Action'],4.4,34.0,Imran Khalid,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
Billa Ranga,(1982),113,"['Action', ' Crime', ' Family']",7.5,53.0,K.S.R. Das,Chiranjeevi,Mohan Babu,Radhika Sarathkumar
Billoo Baadshah,(1989),148,"['Action', ' Crime', ' Drama']",4.5,41.0,Sisir Misra,Shatrughan Sinha,Anita Raj,Govinda
Billu Ustaad,(2018),138,['Drama'],6.9,26.0,Suvahhdan Angre,Neel Bakshi,Sneha Arun,Abhishek Bardia
Bin Badal Barsaat,(1963),154,"['Drama', ' Musical', ' Mystery']",5.7,31.0,Jyoti Swaroop,Asha Parekh,Biswajit Chatterjee,Nishi
Bin Bulaye Baraati,(2011),133,"['Action', ' Comedy', ' Crime']",3.8,255.0,Chandrakant Singh,Naushaad Abbas,Rati Agnihotri,Shweta Bhardwaj
Bin Maa Ke Bachche,(1980),131,['Drama'],6.0,17.0,Satyen Bose,Bindu,Leela Chitnis,Raju Desai
Bin Phere Free Me Tere,(2013),131,['Comedy'],4.5,22.0,Manoj Sharma,Ashrita Agarwal,Arsh Deol,Manoj Joshi
Bin Phere Hum Tere,(1979),135,"['Drama', ' Family']",6.7,25.0,Rajat Rakshit,Asha Parekh,Vinod Mehra,Sarika
Bindhaast,(1999),135,"['Adventure', ' Mystery', ' Thriller']",7.0,148.0,Chandrakant Kulkarni,Gautami Kapoor,Sharvari Jamenis,Reema Lagoo
Bindiya Aur Bandook,(1972),135,['Action'],2.8,10.0,Shibu Mitra,Kiran Kumar,Asha Sachdev,Laxmi Chhaya
Bindiya Chamkegi,(1984),139,"['Comedy', ' Family']",5.1,18.0,Tarun Dutt,Rekha,Vinod Mehra,Johnny Walker
